               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  57,            0.075749,            0.018794,            0.026264,             0.42854,             0.26667,             0.35865,             0.16858,            0.034135,            0.016489,            0.020411,            0.004456,            0.004456,            0.004456
                  58,            0.027886,            0.017535,            0.022938,             0.42854,             0.26667,             0.35865,             0.16858,            0.034135,            0.016489,            0.020411,            0.004357,            0.004357,            0.004357
                  59,            0.028022,            0.020189,            0.022554,             0.33615,             0.38333,             0.35502,             0.12692,            0.026684,            0.016799,            0.019879,            0.004258,            0.004258,            0.004258
                  60,            0.032426,            0.017752,            0.019773,             0.33615,             0.38333,             0.35502,             0.12692,            0.026684,            0.016799,            0.019879,            0.004159,            0.004159,            0.004159
                  61,            0.039004,            0.019465,            0.029707,              0.3433,             0.60833,             0.42174,             0.20959,            0.026423,            0.016025,            0.020973,             0.00406,             0.00406,             0.00406
                  62,            0.033945,            0.018876,            0.023247,              0.3433,             0.60833,             0.42174,             0.20959,            0.026423,            0.016025,            0.020973,            0.003961,            0.003961,            0.003961
                  63,            0.029627,            0.017004,            0.023616,             0.34035,             0.49551,                0.44,             0.24905,            0.026751,            0.016477,            0.020857,            0.003862,            0.003862,            0.003862
                  64,             0.03644,            0.016371,            0.047742,             0.34035,             0.49551,                0.44,             0.24905,            0.026751,            0.016477,            0.020857,            0.003763,            0.003763,            0.003763
                  65,            0.028393,            0.015734,            0.024215,              0.2791,             0.67083,             0.44793,             0.22201,            0.025467,            0.016885,            0.020865,            0.003664,            0.003664,            0.003664
                  66,            0.041148,            0.018831,            0.049017,              0.2791,             0.67083,             0.44793,             0.22201,            0.025467,            0.016885,            0.020865,            0.003565,            0.003565,            0.003565
                  67,             0.04498,            0.021553,            0.065102,             0.33548,             0.64902,             0.45027,             0.21453,            0.023607,            0.016634,            0.020497,            0.003466,            0.003466,            0.003466
                  68,            0.026063,            0.022498,            0.022393,             0.33548,             0.64902,             0.45027,             0.21453,            0.023607,            0.016634,            0.020497,            0.003367,            0.003367,            0.003367
                  69,            0.023976,            0.017419,            0.021166,             0.28634,             0.50417,             0.39499,             0.19327,            0.023423,            0.016614,            0.020498,            0.003268,            0.003268,            0.003268
                  70,            0.032441,            0.020304,            0.023721,             0.28634,             0.50417,             0.39499,             0.19327,            0.023423,            0.016614,            0.020498,            0.003169,            0.003169,            0.003169
                  71,            0.035366,            0.016913,            0.024801,              0.2901,              0.5375,             0.47488,             0.21452,            0.025075,            0.016338,            0.020034,             0.00307,             0.00307,             0.00307
                  72,            0.047244,            0.021699,            0.028335,              0.2901,              0.5375,             0.47488,             0.21452,            0.025075,            0.016338,            0.020034,            0.002971,            0.002971,            0.002971
                  73,            0.037789,            0.019227,            0.024115,             0.41968,              0.5602,             0.51085,             0.29145,            0.025184,            0.015659,            0.019629,            0.002872,            0.002872,            0.002872
                  74,            0.026739,            0.016424,            0.025562,             0.41968,              0.5602,             0.51085,             0.29145,            0.025184,            0.015659,            0.019629,            0.002773,            0.002773,            0.002773
                  75,            0.024837,            0.019108,            0.024209,             0.30376,              0.5375,             0.39623,             0.22018,            0.025521,            0.015422,            0.019411,            0.002674,            0.002674,            0.002674
                  76,            0.039075,            0.018061,            0.023318,             0.30376,              0.5375,             0.39623,             0.22018,            0.025521,            0.015422,            0.019411,            0.002575,            0.002575,            0.002575
                  77,            0.025416,            0.016506,            0.019466,              0.3696,              0.5375,             0.44007,              0.2161,            0.025618,             0.01506,            0.019166,            0.002476,            0.002476,            0.002476
                  78,            0.038015,            0.019135,              0.0222,              0.3696,              0.5375,             0.44007,              0.2161,            0.025618,             0.01506,            0.019166,            0.002377,            0.002377,            0.002377
                  79,            0.041567,            0.017263,            0.022993,             0.43373,               0.475,             0.41556,             0.25639,            0.023733,            0.015435,            0.018799,            0.002278,            0.002278,            0.002278
                  80,            0.022163,            0.018057,            0.021271,             0.43373,               0.475,             0.41556,             0.25639,            0.023733,            0.015435,            0.018799,            0.002179,            0.002179,            0.002179
                  81,            0.038195,             0.01818,             0.04554,              0.4871,             0.55645,             0.47302,              0.2839,            0.022848,            0.015986,            0.018703,             0.00208,             0.00208,             0.00208
